time,distance
0,88635.7
0.05,88635.7
0.1,88635.7
0.151,88635.7
0.201,88635.7
0.252,88635.7
0.303,88635.7
0.353,88635.7
0.404,88635.7
0.454,88635.7
0.505,88635.7
0.555,88635.7
0.606,88635.7
0.656,88635.7
0.707,88635.7
0.757,88635.7
0.808,88635.7
0.858,88635.7
0.909,88635.7
0.96,88635.7
1.01,88635.7
1.061,88635.7
1.111,88635.7
1.162,88635.7
1.212,88635.7
1.263,88635.7
1.313,88635.7
1.364,88635.7
1.414,88635.7
1.465,88635.7
1.515,88635.7
1.566,88635.7
1.616,88635.7
1.667,88635.7
1.717,88635.7
1.768,88635.7
1.818,88635.7
1.869,88635.7
1.919,88635.7
1.97,88635.7
2.02,88635.7
2.071,88635.7
2.122,88635.7
2.172,88635.7
2.223,88635.7
2.273,88635.7
2.324,88635.7
2.374,88635.7
2.425,88635.7
2.475,88635.7
2.526,88635.7
2.576,88635.7
2.627,88635.7
2.678,88635.7
2.728,88635.7
2.779,88635.7
2.829,88635.7
2.88,88635.7
2.93,88635.7
2.981,88635.7
3.031,88635.5
3.114,88634.5
3.164,88634.2
3.215,88633.8
3.265,88633.5
3.316,88633
3.366,88632.7
3.417,88632.3
3.467,88632
3.518,88631.7
3.568,88631.3
3.619,88631
3.67,88630.6
3.72,88630.3
3.771,88630
3.821,88629.6
3.872,88629.3
3.922,88629
3.973,88628.6
4.023,88628.3
4.074,88627.9
4.124,88627.6
4.175,88627.3
4.226,88626.9
4.276,88626.6
4.327,88626.2
4.377,88625.9
4.428,88625.6
4.478,88625.2
4.529,88624.9
4.579,88624.5
4.63,88624.2
4.68,88623.8
4.731,88623.5
4.782,88623.2
4.832,88622.8
4.883,88622.3
4.933,88621.8
4.984,88621.2
5.034,88620.6
5.085,88619.7
5.135,88618.7
5.186,88617.5
5.236,88616.3
5.287,88614.9
5.337,88613.6
5.388,88612.2
5.439,88610.8
5.489,88609.4
5.54,88608
5.59,88606.7
5.641,88605.3
5.691,88603.7
5.742,88601.4
5.792,88598.4
5.843,88595
5.893,88591.1
5.944,88587
5.995,88582.7
6.045,88578.3
6.096,88573.8
6.146,88569.3
6.197,88564.7
6.247,88560.1
6.298,88555.5
6.348,88550.8
6.399,88546.2
6.449,88541.5
6.5,88535.3
6.55,88530.7
6.601,88526
6.652,88521.3
6.702,88484.8
6.753,87411.8
6.803,85409.5
6.854,83317.7
6.904,81212.8
6.955,79118.6
7.005,77020.8
7.056,74924.1
7.106,72831.6
7.157,70735.5
7.207,68639.8
7.258,66554.8
7.308,64451.9
7.359,62363.4
7.41,60281.7
7.46,58179.7
7.511,56093.4
7.561,53990.6
7.612,51906.2
7.662,49818.1
7.713,47726.3
7.763,45622.4
7.814,43536.9
7.864,41452.7
7.915,39368.8
7.965,37276.8
8.016,35180.5
8.066,33103.1
8.117,30306.1
8.167,28216.7
8.218,26140.1
8.269,24053.5
8.319,21980
8.37,19888.9
8.42,17793.4
8.471,15717.1
8.521,13644.6
8.572,11548.8
8.622,9484.03
8.673,7280.38
8.723,5425.75
8.775,5376.17
8.826,5326.95
8.876,5277.47
8.927,5228.22
8.977,5178.36
9.028,5129.11
9.078,5080.05
9.129,5032.06
9.179,4983.41
9.23,4933.05
9.28,4874.95
9.331,4828.44
9.382,4784.92
9.434,4739.17
9.485,4690.97
9.535,4655.41
9.586,4622.38
9.636,4591.59
9.687,4563.55
9.737,4537.47
9.788,4513.3
9.838,4490.83
9.889,4469.64
